age,workclass,fnlwgt,education,gender,native-country,income,high_label_correlation,redundant SV column,duplicate column,mixed_data_types
96,Private,121321,?,Male,United-States,<=50K,average salary,this_is_the_same,96,3
36,Private,73023,HS-grad,Male,$$$$$,<=50K,average salary,this_is_the_same,36,MD2
20,Private,194686,Some-college,Male,United-States,<=50K,average salary,this_is_the_same,20,2
24,Private,72887,HS-grad,Male,United-States,<=50K,average salary,this_is_the_same,24,MD2
44,VARiation!,282192,?,Male,United-States,<=50K,CHANGED VALUE,this_is_the_same,44,3
44,Private,176063,Bachelors,Male,$$$$$,<=50K,average salary,this_is_the_same,44,2
70,Private,220589,Some-college,Female,United-States,<=50K,average salary,this_is_the_same,70,3
88,Self-emp-not-inc,187097,Prof-school,Male,$$$$$,<=50K,average salary,this_is_the_same,88,MD3
67,Private,197816,Some-college,,United-States,<=50K,average salary,this_is_the_same,67,1
73,Private,192740,Bachelors,Male,United-States,<=50K,average salary,this_is_the_same,73,1
26,Self-emp-not-inc,31143,HS-grad,Male,@#$@,<=50K,average salary,this_is_the_same,26,MD3
28,Private,129460,9th,Male,El-Salvador,<=50K,CHANGED VALUE,this_is_the_same,28,MD3
49,Self-emp-not-inc,208872,HS-grad,,United-States,<=50K,average salary,this_is_the_same,49,2
19,Private,100009,Some-college,Female,United-States,<=50K,average salary,this_is_the_same,19,2
45,Private,55720,Bachelors,Male,United-States,>50K,high salary,this_is_the_same,45,3
49,Federal-gov,195437,Assoc-acdm,Male,United-States,>50K,high salary,this_is_the_same,49,2
17,Private,34943,10th,Female,United-States,<=50K,average salary,this_is_the_same,17,3
19,variation,149528,Some-college,Male,United-States,<=50K,average salary,this_is_the_same,19,2
30,Private,207172,Bachelors,Female,Mexico,<=50K,average salary,this_is_the_same,30,MD1
38,Private,238721,Assoc-acdm,,United-States,<=50K,average salary,this_is_the_same,38,1
45,Private,55720,Bachelors,Male,United-States,>50K,high salary,this_is_the_same,45,3
47,Variation@,282830,Assoc-acdm,Male,United-States,>50K,high salary,this_is_the_same,47,1
42,Self-emp-not-inc,103759,HS-grad,,###,<=50K,average salary,this_is_the_same,42,MD1
26,vaRiAtIoN,33604,HS-grad,,United-States,<=50K,average salary,this_is_the_same,26,1
29,Private,59792,?,Male,Taiwan,<=50K,average salary,this_is_the_same,29,1
19,Private,100009,Some-college,Female,United-States,<=50K,average salary,this_is_the_same,19,2
47,VARIATION,212120,HS-grad,Male,United-States,>50K,high salary,this_is_the_same,47,MD1
139,Private,230467,Bachelors,Male,Germany,<=50K,average salary,this_is_the_same,139,1
27,Private,241607,Bachelors,Male,United-States,<=50K,average salary,this_is_the_same,27,3
51,Private,124963,Assoc-acdm,Male,United-States,<=50K,CHANGED VALUE,this_is_the_same,51,MD2
37,Self-emp-inc,126675,?,,United-States,<=50K,average salary,this_is_the_same,37,MD1
32,Variation@,133530,Masters,Female,United-States,<=50K,average salary,this_is_the_same,32,MD2
61,Self-emp-not-inc,181033,HS-grad,Male,@#$@,<=50K,average salary,this_is_the_same,61,3
167,Private,192995,HS-grad,Female,United-States,<=50K,average salary,this_is_the_same,167,MD3
47,Variation@,282830,Assoc-acdm,Male,United-States,>50K,high salary,this_is_the_same,47,1
41,Local-gov,242586,Some-college,Male,United-States,<=50K,average salary,this_is_the_same,41,MD1
30,Private,340917,Bachelors,Male,United-States,<=50K,average salary,this_is_the_same,30,1
47,Private,24723,10th,Female,$$$$$,<=50K,average salary,this_is_the_same,47,MD3
143,variation,162108,0,,United-States,<=50K,average salary,this_is_the_same,143,1
36,Private,250238,1st-4th,Female,###,<=50K,average salary,this_is_the_same,36,1
44,Private,172032,HS-grad,,United-States,<=50K,average salary,this_is_the_same,44,3
32,?,143699,Some-college,Female,@#$@,<=50K,average salary,this_is_the_same,32,2
32,Private,131425,?,,United-States,<=50K,average salary,this_is_the_same,32,3
41,Local-gov,242586,Some-college,Male,United-States,<=50K,average salary,this_is_the_same,41,MD1
23,Private,326587,-,Male,United-States,<=50K,average salary,this_is_the_same,23,3
26,Private,102476,Bachelors,Male,United-States,<=50K,average salary,this_is_the_same,26,3
26,vaRiAtIoN,33604,HS-grad,,United-States,<=50K,average salary,this_is_the_same,26,1
29,Private,59792,?,Male,Taiwan,<=50K,average salary,this_is_the_same,29,1
137,Private,109133,-,Male,Portugal,<=50K,average salary,this_is_the_same,137,3
128,Private,179008,0,Male,United-States,<=50K,average salary,this_is_the_same,128,3
26,Private,102476,Bachelors,Male,United-States,>50K,average salary,this_is_the_same,26,3
26,vaRiAtIoN,33604,HS-grad,,United-States,>50K,average salary,this_is_the_same,26,1
29,Private,59792,?,Male,Taiwan,>50K,average salary,this_is_the_same,29,1
137,Private,109133,-,Male,Portugal,>50K,average salary,this_is_the_same,137,3
128,Private,179008,0,Male,United-States,>50K,average salary,this_is_the_same,128,3
